TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-genome-pe100-cov1	2.15	0.19	1.96	115068	0	109087	1	17
pirs-genome-pe100-cov1	1.03	0.33	7.28	32936	0	12985	68586	190
dwgsim-genome-pe100-cov1	5.55	0.57	4.97	358616	0	397722	1	22
art_original-genome-pe100-cov1	10.93	1.18	9.74	75792	0	28715	3	61
art_modern-genome-pe100-cov1	0.56	0.32	2.06	217556	0	87739	4261	78
art_modern_gcc-genome-pe100-cov1	0.75	0.26	3.26	193428	0	85823	5814	12
wgsim-genome-pe100-cov2	3.51	0.35	3.16	115240	0	109089	1	18
pirs-genome-pe100-cov2	1.80	0.67	12.86	33200	0	12973	140142	280
dwgsim-genome-pe100-cov2	8.86	0.61	8.25	359012	0	397722	1	39
art_original-genome-pe100-cov2	20.41	2.32	18.08	75900	0	28714	1	83
art_modern-genome-pe100-cov2	0.83	0.51	3.87	217120	0	87776	6789	68
art_modern_gcc-genome-pe100-cov2	1.41	0.34	6.50	194804	0	86194	16619	60
wgsim-genome-pe100-cov4	6.27	0.46	5.80	115280	0	109087	1	37
pirs-genome-pe100-cov4	3.51	1.41	24.59	33164	0	12991	291537	521
dwgsim-genome-pe100-cov4	15.61	0.83	14.78	358864	0	397721	1	64
art_original-genome-pe100-cov4	39.27	4.66	34.61	75816	0	28714	3	196
art_modern-genome-pe100-cov4	1.48	0.81	7.78	217212	0	87858	15119	117
art_modern_gcc-genome-pe100-cov4	2.36	0.70	12.73	194044	0	86002	25128	95
wgsim-genome-pe100-cov8	11.75	0.74	11.01	115436	0	109089	1	59
pirs-genome-pe100-cov8	6.73	2.63	47.30	32620	0	12982	588482	765
dwgsim-genome-pe100-cov8	29.06	1.08	27.98	358768	0	397722	1	119
art_original-genome-pe100-cov8	77.23	9.25	67.97	75396	0	28714	5	1412
art_modern-genome-pe100-cov8	2.84	1.47	16.27	218804	0	88163	34181	663
art_modern_gcc-genome-pe100-cov8	4.51	1.30	26.33	194796	0	86248	50588	524
wgsim-genome-pe100-cov16	23.17	1.36	21.79	114884	0	109086	4	357
pirs-genome-pe100-cov16	14.02	5.01	98.99	32372	0	12992	1137613	3497
dwgsim-genome-pe100-cov16	56.70	1.79	54.91	358688	0	397723	1	1648
art_original-genome-pe100-cov16	153.69	18.64	135.01	75264	0	28714	12	4180
art_modern-genome-pe100-cov16	5.40	2.81	32.15	221160	0	88815	66413	481
art_modern_gcc-genome-pe100-cov16	9.07	2.37	52.94	195728	0	86312	106375	471
wgsim-transcriptome-pe100-cov1	1.16	0.10	1.05	15452	0	12016	1	11
dwgsim-transcriptome-pe100-cov1	3.23	0.42	2.80	18636	0	251567	1	535
art_original-transcriptome-pe100-cov1	6.28	0.68	5.59	11488	0	1413	1	35
art_modern-transcriptome-pe100-cov1	0.46	0.16	1.25	247604	0	60428	5620	68
art_modern_gcc-transcriptome-pe100-cov1	0.63	0.15	1.88	224752	0	58542	6733	18
wgsim-transcriptome-pe100-cov2	1.91	0.11	1.80	15104	0	12016	1	15
dwgsim-transcriptome-pe100-cov2	5.12	0.46	4.64	18728	0	251567	1	564
art_original-transcriptome-pe100-cov2	11.47	1.33	10.14	11592	0	1413	1	46
art_modern-transcriptome-pe100-cov2	0.73	0.26	2.30	247288	0	60520	10092	156
art_modern_gcc-transcriptome-pe100-cov2	1.08	0.19	3.80	224544	0	58592	14631	27
wgsim-transcriptome-pe100-cov4	3.41	0.25	3.16	15532	0	12016	1	38
dwgsim-transcriptome-pe100-cov4	8.86	0.56	8.29	18704	0	251567	2	423
art_original-transcriptome-pe100-cov4	22.75	2.65	20.10	11756	0	1413	1	277
art_modern-transcriptome-pe100-cov4	1.26	0.45	4.32	252040	0	61848	17398	90
art_modern_gcc-transcriptome-pe100-cov4	2.00	0.34	7.38	224612	0	58673	26574	51
wgsim-transcriptome-pe100-cov8	6.44	0.42	6.02	15508	0	12019	1	30
dwgsim-transcriptome-pe100-cov8	16.36	0.85	15.50	18628	0	251565	2	172
art_original-transcriptome-pe100-cov8	43.47	5.29	38.17	11392	0	1414	5	375
art_modern-transcriptome-pe100-cov8	2.50	0.81	8.91	251076	0	61590	38976	343
art_modern_gcc-transcriptome-pe100-cov8	3.81	0.60	14.62	224556	0	59003	55923	202
wgsim-transcriptome-pe100-cov16	12.64	0.79	11.85	15308	0	12016	1	77
