TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-genome-pe100-size1048576	0.09	0.02	0.07	18280	0	2467	1	6
pirs-genome-pe100-size1048576	0.05	0.02	0.28	12808	0	1831	2631	30
dwgsim-genome-pe100-size1048576	0.16	0.01	0.15	29120	0	5217	1	3
art_original-genome-pe100-size1048576	0.41	0.05	0.36	12348	0	1863	1	1
art_modern-genome-pe100-size1048576	0.12	0.06	0.16	115084	0	26133	416	67
art_modern_gcc-genome-pe100-size1048576	0.11	0.04	0.19	96804	0	24044	421	10
wgsim-genome-pe100-size4194304	0.27	0.03	0.23	33696	0	7079	1	3
pirs-genome-pe100-size4194304	0.15	0.06	0.97	16104	0	3373	10618	33
dwgsim-genome-pe100-size4194304	0.65	0.04	0.61	81120	0	18273	1	3
art_original-genome-pe100-size4194304	1.65	0.20	1.44	21704	0	5705	1	19
art_modern-genome-pe100-size4194304	0.16	0.10	0.36	117784	0	27740	950	69
art_modern_gcc-genome-pe100-size4194304	0.19	0.05	0.60	99736	0	25605	1509	12
wgsim-genome-pe100-size16777216	1.06	0.08	0.97	94916	0	25507	1	13
pirs-genome-pe100-size16777216	0.55	0.23	3.65	28500	0	9523	43104	60
dwgsim-genome-pe100-size16777216	2.62	0.13	2.49	290080	0	70498	1	16
art_original-genome-pe100-size16777216	6.60	0.78	5.82	58688	0	21067	5	31
art_modern-genome-pe100-size16777216	0.32	0.19	1.33	129992	0	33794	3096	61
art_modern_gcc-genome-pe100-size16777216	0.57	0.08	2.26	112248	0	31769	7282	29
wgsim-genome-pe100-size67108864	4.21	0.32	3.89	340976	0	99289	1	44
pirs-genome-pe100-size67108864	2.31	0.96	16.27	77936	0	34107	177426	474
dwgsim-genome-pe100-size67108864	10.52	0.50	10.01	1125760	0	279393	1	545
art_original-genome-pe100-size67108864	26.36	3.26	23.10	140404	0	82513	2	157
art_modern-genome-pe100-size67108864	0.99	0.60	5.26	186236	0	58665	10975	94
art_modern_gcc-genome-pe100-size67108864	1.63	0.47	8.76	161088	0	56423	17263	70
wgsim-genome-pe100-size268435456	16.91	1.27	15.63	1324004	0	394202	1	68
pirs-genome-pe100-size268435456	8.46	3.66	58.74	274536	0	132417	697200	916
dwgsim-genome-pe100-size268435456	41.87	1.96	39.91	4467680	0	1114976	1	204
art_original-genome-pe100-size268435456	105.67	12.68	92.98	533468	0	328274	7	465
art_modern-genome-pe100-size268435456	4.04	1.51	21.39	383348	0	157124	69630	241
art_modern_gcc-genome-pe100-size268435456	5.90	1.97	34.56	358916	0	155032	58114	223
wgsim-transcriptome-pe100-size1024	0.08	0.01	0.06	14080	0	929	1	5
dwgsim-transcriptome-pe100-size1024	0.17	0.02	0.14	12160	0	7007	1	25
art_original-transcriptome-pe100-size1024	0.40	0.03	0.36	9760	0	627	1	3
art_modern-transcriptome-pe100-size1024	0.12	0.07	0.14	114244	0	25863	454	72
art_modern_gcc-transcriptome-pe100-size1024	0.12	0.03	0.22	95744	0	23991	513	15
wgsim-transcriptome-pe100-size4096	0.26	0.02	0.23	14080	0	929	1	8
dwgsim-transcriptome-pe100-size4096	0.66	0.06	0.59	12160	0	25438	1	137
art_original-transcriptome-pe100-size4096	1.61	0.19	1.42	9760	0	676	1	8
art_modern-transcriptome-pe100-size4096	0.16	0.09	0.38	119424	0	28123	1130	70
art_modern_gcc-transcriptome-pe100-size4096	0.18	0.06	0.59	99392	0	25674	1284	8
wgsim-transcriptome-pe100-size16384	0.99	0.05	0.93	14080	0	930	1	6
dwgsim-transcriptome-pe100-size16384	2.62	0.24	2.37	12160	0	99168	1	484
art_original-transcriptome-pe100-size16384	6.42	0.72	5.70	10028	0	904	1	30
art_modern-transcriptome-pe100-size16384	0.30	0.18	1.27	150532	0	35995	3882	75
art_modern_gcc-transcriptome-pe100-size16384	0.45	0.15	2.11	120144	0	32407	4296	24
wgsim-transcriptome-pe100-size65536	3.90	0.26	3.64	14080	0	929	1	18
dwgsim-transcriptome-pe100-size65536	10.38	0.89	9.47	12320	0	394079	1	2143
art_original-transcriptome-pe100-size65536	25.55	2.97	22.56	12300	0	1865	5	181
art_modern-transcriptome-pe100-size65536	0.93	0.53	4.95	254140	0	63381	11761	70
art_modern_gcc-transcriptome-pe100-size65536	1.44	0.59	8.07	226500	0	59747	13921	43
wgsim-transcriptome-pe100-size262144	15.57	0.93	14.63	13920	0	929	1	131
dwgsim-transcriptome-pe100-size262144	41.51	3.88	37.57	12320	0	1573727	4	8461
art_original-transcriptome-pe100-size262144	102.22	11.90	90.31	24484	0	6470	7	435
art_modern-transcriptome-pe100-size262144	3.49	2.04	20.00	687188	0	175954	46098	260
art_modern_gcc-transcriptome-pe100-size262144	6.07	1.98	33.10	664092	0	172955	69833	224
wgsim-genome-pe300-size1048576	0.06	0.01	0.05	18400	0	2469	1	6
pirs-genome-pe300-size1048576	0.06	0.02	0.26	16488	0	2668	1165	29
dwgsim-genome-pe300-size1048576	0.15	0.00	0.14	29120	0	5218	1	2
art_original-genome-pe300-size1048576	0.38	0.03	0.35	12668	0	1925	1	2
art_modern-genome-pe300-size1048576	0.12	0.07	0.14	116968	0	26214	462	69
art_modern_gcc-genome-pe300-size1048576	0.12	0.04	0.20	98920	0	24362	483	16
wgsim-genome-pe300-size4194304	0.22	0.03	0.19	33776	0	7076	1	6
pirs-genome-pe300-size4194304	0.16	0.04	0.87	19624	0	4211	4621	26
dwgsim-genome-pe300-size4194304	0.59	0.03	0.56	80948	0	18271	1	4
art_original-genome-pe300-size4194304	1.48	0.08	1.39	21900	0	5766	1	13
art_modern-genome-pe300-size4194304	0.18	0.10	0.39	119708	0	27793	1035	65
art_modern_gcc-genome-pe300-size4194304	0.22	0.06	0.61	101404	0	25920	1663	9
wgsim-genome-pe300-size16777216	0.85	0.09	0.76	94924	0	25506	1	7
pirs-genome-pe300-size16777216	0.54	0.16	3.35	31528	0	10358	18489	51
dwgsim-genome-pe300-size16777216	2.33	0.13	2.19	289920	0	70497	1	16
art_original-genome-pe300-size16777216	6.07	0.32	5.75	58612	0	21128	1	39
art_modern-genome-pe300-size16777216	0.32	0.16	1.29	132196	0	33945	3173	71
art_modern_gcc-genome-pe300-size16777216	0.51	0.12	2.12	114140	0	32057	6068	15
wgsim-genome-pe300-size67108864	3.33	0.31	3.01	341128	0	99288	1	19
pirs-genome-pe300-size67108864	2.11	0.59	13.27	81224	0	34940	72412	118
dwgsim-genome-pe300-size67108864	9.30	0.52	8.78	1125600	0	279393	1	37
art_original-genome-pe300-size67108864	23.58	1.22	22.35	140628	0	82574	3	85
art_modern-genome-pe300-size67108864	1.05	0.39	5.04	186324	0	58497	17284	113
art_modern_gcc-genome-pe300-size67108864	1.52	0.32	8.25	163552	0	56805	18183	145
wgsim-genome-pe300-size268435456	13.43	1.23	12.19	1324128	0	394200	2	70
pirs-genome-pe300-size268435456	8.35	2.39	52.98	277768	0	133255	290915	411
dwgsim-genome-pe300-size268435456	37.23	1.94	35.29	4467840	0	1114979	1	154
art_original-genome-pe300-size268435456	94.48	5.12	89.35	533448	0	328336	5	538
art_modern-genome-pe300-size268435456	3.59	1.89	19.85	384732	0	157170	43402	233
art_modern_gcc-genome-pe300-size268435456	5.87	1.21	32.93	360220	0	155239	73962	517
wgsim-transcriptome-pe300-size1024	0.07	0.00	0.06	14080	0	931	1	3
dwgsim-transcriptome-pe300-size1024	0.17	0.02	0.15	12160	0	7006	1	24
art_original-transcriptome-pe300-size1024	0.34	0.01	0.32	9920	0	692	1	3
art_modern-transcriptome-pe300-size1024	0.12	0.06	0.15	114968	0	26079	382	68
art_modern_gcc-transcriptome-pe300-size1024	0.12	0.03	0.20	96856	0	24223	561	8
wgsim-transcriptome-pe300-size4096	0.22	0.02	0.19	14080	0	930	1	2
dwgsim-transcriptome-pe300-size4096	0.63	0.06	0.56	12160	0	25441	1	88
art_original-transcriptome-pe300-size4096	1.29	0.06	1.22	10080	0	734	1	6
art_modern-transcriptome-pe300-size4096	0.17	0.09	0.39	118396	0	27782	1032	73
art_modern_gcc-transcriptome-pe300-size4096	0.22	0.04	0.62	100112	0	26078	1795	25
wgsim-transcriptome-pe300-size16384	0.82	0.05	0.76	13760	0	929	1	6
dwgsim-transcriptome-pe300-size16384	2.50	0.26	2.23	12000	0	99168	1	468
art_original-transcriptome-pe300-size16384	5.16	0.27	4.89	10388	0	945	1	31
art_modern-transcriptome-pe300-size16384	0.32	0.19	1.30	144424	0	34463	2792	76
art_modern_gcc-transcriptome-pe300-size16384	0.43	0.13	2.08	120972	0	32600	4279	19
wgsim-transcriptome-pe300-size65536	3.25	0.21	3.03	13920	0	929	1	5
dwgsim-transcriptome-pe300-size65536	9.98	0.91	9.05	12160	0	394079	3	2054
art_original-transcriptome-pe300-size65536	20.64	1.01	19.63	12836	0	1907	1	89
art_modern-transcriptome-pe300-size65536	1.19	0.42	5.14	250432	0	61812	19807	172
art_modern_gcc-transcriptome-pe300-size65536	1.54	0.39	8.37	227548	0	59918	19861	139
wgsim-transcriptome-pe300-size262144	12.97	0.90	12.06	13920	0	930	1	73
dwgsim-transcriptome-pe300-size262144	39.61	3.70	35.84	12160	0	1573729	3	8133
art_original-transcriptome-pe300-size262144	82.57	4.21	78.35	24736	0	6513	5	459
art_modern-transcriptome-pe300-size262144	3.99	1.77	20.46	688172	0	174902	59250	296
art_modern_gcc-transcriptome-pe300-size262144	6.14	2.02	33.25	664628	0	172651	73179	471
wgsim-genome-pe100-size1048576	0.07	0.00	0.06	18272	0	2469	1	1
pirs-genome-pe100-size1048576	0.05	0.01	0.26	12968	0	1833	2890	31
dwgsim-genome-pe100-size1048576	0.16	0.01	0.15	29120	0	5217	1	4
art_original-genome-pe100-size1048576	0.42	0.05	0.36	12432	0	1861	1	7
art_modern-genome-pe100-size1048576	0.12	0.06	0.16	115084	0	25898	480	60
art_modern_gcc-genome-pe100-size1048576	0.12	0.03	0.21	96796	0	24044	505	15
wgsim-genome-pe100-size4194304	0.27	0.03	0.23	33748	0	7076	1	2
pirs-genome-pe100-size4194304	0.16	0.06	1.03	16116	0	3374	10366	33
dwgsim-genome-pe100-size4194304	0.65	0.03	0.61	80960	0	18272	1	4
art_original-genome-pe100-size4194304	1.64	0.21	1.43	21664	0	5703	1	84
art_modern-genome-pe100-size4194304	0.15	0.09	0.38	117740	0	27619	950	63
art_modern_gcc-genome-pe100-size4194304	0.18	0.06	0.58	99580	0	25603	1108	19
wgsim-genome-pe100-size16777216	1.05	0.09	0.95	95252	0	25509	1	7
pirs-genome-pe100-size16777216	0.54	0.25	3.69	28720	0	9522	43152	89
dwgsim-genome-pe100-size16777216	2.59	0.13	2.45	289920	0	70493	1	12
art_original-genome-pe100-size16777216	6.64	0.78	5.86	58532	0	21067	5	45
art_modern-genome-pe100-size16777216	0.32	0.19	1.32	130172	0	33989	2982	65
art_modern_gcc-genome-pe100-size16777216	0.51	0.12	2.22	112008	0	31768	6204	29
wgsim-genome-pe100-size67108864	4.15	0.33	3.81	340984	0	99290	1	88
pirs-genome-pe100-size67108864	2.07	0.91	14.56	77712	0	34105	175049	282
dwgsim-genome-pe100-size67108864	10.39	0.51	9.87	1125760	0	279391	1	93
art_original-genome-pe100-size67108864	26.37	3.08	23.27	140528	0	82511	18	243
art_modern-genome-pe100-size67108864	0.98	0.58	5.22	185532	0	58424	11148	126
art_modern_gcc-genome-pe100-size67108864	1.57	0.41	8.61	161392	0	56378	16161	41
wgsim-genome-pe100-size268435456	16.83	1.30	15.52	1324096	0	394200	1	88
pirs-genome-pe100-size268435456	8.15	3.75	57.98	274408	0	132419	720978	729
dwgsim-genome-pe100-size268435456	41.82	2.02	39.79	4467520	0	1114974	2	245
art_original-genome-pe100-size268435456	105.72	12.70	93.00	533424	0	328276	9	616
art_modern-genome-pe100-size268435456	3.71	2.13	21.36	382216	0	156861	38618	174
art_modern_gcc-genome-pe100-size268435456	6.05	1.68	34.84	358844	0	155029	68054	187
wgsim-transcriptome-pe100-size1024	0.07	0.00	0.06	14080	0	928	1	1
dwgsim-transcriptome-pe100-size1024	0.17	0.01	0.15	12160	0	7008	1	21
art_original-transcriptome-pe100-size1024	0.42	0.05	0.36	9760	0	629	1	3
art_modern-transcriptome-pe100-size1024	0.12	0.06	0.14	114164	0	25846	441	71
art_modern_gcc-transcriptome-pe100-size1024	0.12	0.04	0.20	95868	0	23989	404	18
wgsim-transcriptome-pe100-size4096	0.26	0.02	0.24	14240	0	929	1	6
dwgsim-transcriptome-pe100-size4096	0.66	0.05	0.60	12160	0	25439	1	108
art_original-transcriptome-pe100-size4096	1.60	0.17	1.43	10080	0	677	1	8
art_modern-transcriptome-pe100-size4096	0.16	0.09	0.37	118884	0	28013	1284	69
art_modern_gcc-transcriptome-pe100-size4096	0.19	0.06	0.59	99292	0	25669	1463	8
wgsim-transcriptome-pe100-size16384	0.99	0.06	0.93	13920	0	931	1	7
dwgsim-transcriptome-pe100-size16384	2.60	0.24	2.35	12160	0	99168	1	492
art_original-transcriptome-pe100-size16384	6.43	0.77	5.66	9760	0	904	1	35
art_modern-transcriptome-pe100-size16384	0.34	0.15	1.31	145776	0	34904	4644	69
art_modern_gcc-transcriptome-pe100-size16384	0.45	0.18	2.06	120080	0	32391	4033	15
wgsim-transcriptome-pe100-size65536	3.92	0.23	3.69	13920	0	928	1	19
dwgsim-transcriptome-pe100-size65536	10.38	0.95	9.41	12000	0	394079	1	2007
art_original-transcriptome-pe100-size65536	25.53	3.08	22.43	12412	0	1867	7	138
art_modern-transcriptome-pe100-size65536	1.03	0.38	5.17	249600	0	61903	18197	92
art_modern_gcc-transcriptome-pe100-size65536	1.88	0.43	8.34	226604	0	59724	28785	89
wgsim-transcriptome-pe100-size262144	15.58	0.93	14.64	14080	0	929	1	105
dwgsim-transcriptome-pe100-size262144	41.46	3.81	37.57	12000	0	1573724	7	8440
art_original-transcriptome-pe100-size262144	102.30	12.15	90.13	24584	0	6470	7	537
art_modern-transcriptome-pe100-size262144	3.54	1.99	20.17	686852	0	176151	50660	171
art_modern_gcc-transcriptome-pe100-size262144	6.64	1.59	34.15	663828	0	172761	100402	220
wgsim-genome-pe300-size1048576	0.06	0.01	0.05	18312	0	2468	1	3
pirs-genome-pe300-size1048576	0.06	0.01	0.26	16384	0	2665	1137	27
dwgsim-genome-pe300-size1048576	0.15	0.01	0.14	28800	0	5217	1	3
art_original-genome-pe300-size1048576	0.37	0.02	0.34	12620	0	1925	1	2
art_modern-genome-pe300-size1048576	0.13	0.06	0.16	116856	0	26228	480	60
art_modern_gcc-genome-pe300-size1048576	0.12	0.04	0.21	99044	0	24355	505	9
wgsim-genome-pe300-size4194304	0.23	0.03	0.19	33216	0	7077	1	4
pirs-genome-pe300-size4194304	0.15	0.05	0.85	19624	0	4211	4422	33
dwgsim-genome-pe300-size4194304	0.59	0.03	0.55	80800	0	18274	1	5
art_original-genome-pe300-size4194304	1.49	0.07	1.41	21576	0	5767	1	7
art_modern-genome-pe300-size4194304	0.17	0.09	0.38	119968	0	27778	1103	62
art_modern_gcc-genome-pe300-size4194304	0.21	0.06	0.58	101576	0	25926	1822	13
wgsim-genome-pe300-size16777216	0.84	0.07	0.77	94964	0	25508	1	7
pirs-genome-pe300-size16777216	0.55	0.15	3.39	31996	0	10362	18145	67
dwgsim-genome-pe300-size16777216	2.35	0.11	2.24	290080	0	70497	1	12
art_original-genome-pe300-size16777216	6.22	0.32	5.89	58692	0	21129	1	27
art_modern-genome-pe300-size16777216	0.32	0.19	1.29	132452	0	33971	2719	76
art_modern_gcc-genome-pe300-size16777216	0.58	0.12	2.15	113788	0	32077	7493	13
wgsim-genome-pe300-size67108864	3.34	0.30	3.03	340880	0	99287	1	17
pirs-genome-pe300-size67108864	2.13	0.57	13.39	80904	0	34940	73511	105
