TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
art_modern_gcc-genome-pe100-nthreads1	29.64	0.86	31.26	171312	0	78978	476244	260
art_modern_gcc-transcriptome-pe100-nthreads1	16.69	0.30	17.87	173076	0	45643	273360	109
art_modern_gcc-genome-pe100-nthreads2	14.85	0.46	31.34	152156	0	75297	233561	313
art_modern_gcc-transcriptome-pe100-nthreads2	10.48	0.33	17.71	183044	0	48390	170708	113
art_modern_gcc-genome-pe100-nthreads4	7.87	0.66	32.31	173852	0	80758	125688	235
art_modern_gcc-transcriptome-pe100-nthreads4	7.13	0.25	18.39	204284	0	53638	116526	102
art_modern_gcc-genome-pe100-nthreads8	5.94	1.71	36.52	216724	0	91606	64843	174
art_modern_gcc-transcriptome-pe100-nthreads8	4.89	0.76	20.34	247660	0	64661	67341	121
art_modern_gcc-genome-pe100-nthreads16	3.93	1.65	50.29	305496	0	113884	31615	958
art_modern_gcc-transcriptome-pe100-nthreads16	4.00	0.79	26.70	331344	0	85649	52629	308
art_modern_gcc-genome-pe100-nthreads32	3.85	1.98	60.10	1193916	0	336050	12891	11161
art_modern_gcc-transcriptome-pe100-nthreads32	3.94	0.89	29.12	395644	0	101852	48935	1138
art_modern_gcc-genome-pe300-nthreads1	28.33	0.62	29.94	142920	0	72700	454711	377
art_modern_gcc-transcriptome-pe300-nthreads1	16.22	0.62	17.03	173768	0	45731	260363	201
art_modern_gcc-genome-pe300-nthreads2	14.36	0.61	29.77	153628	0	75405	219378	284
art_modern_gcc-transcriptome-pe300-nthreads2	10.26	0.44	17.02	184100	0	48341	159883	174
art_modern_gcc-genome-pe300-nthreads4	7.89	0.88	31.64	175216	0	80864	112770	888
art_modern_gcc-transcriptome-pe300-nthreads4	7.01	0.47	17.83	205320	0	53732	106344	356
art_modern_gcc-genome-pe300-nthreads8	5.92	1.24	36.55	217372	0	91535	73208	569
art_modern_gcc-transcriptome-pe300-nthreads8	4.36	0.87	20.74	247368	0	64618	54787	571
art_modern_gcc-genome-pe300-nthreads16	3.79	1.33	49.48	308240	0	114318	37018	1097
art_modern_gcc-transcriptome-pe300-nthreads16	3.61	0.78	27.06	333980	0	86456	44706	615
art_modern_gcc-genome-pe300-nthreads32	3.73	1.59	57.59	445840	0	148836	35046	11764
art_modern_gcc-transcriptome-pe300-nthreads32	3.82	0.96	29.31	462844	0	118576	48955	5563
art_modern_gcc-genome-pe100-nthreads1	29.26	0.58	31.23	141772	0	72665	478328	223
art_modern_gcc-transcriptome-pe100-nthreads1	16.67	0.44	17.80	173084	0	45648	270450	169
art_modern_gcc-genome-pe100-nthreads2	14.91	1.00	30.98	152344	0	75323	234000	396
art_modern_gcc-transcriptome-pe100-nthreads2	10.56	0.49	17.76	183620	0	48377	169314	186
